Company Name,Industry,Symbol,Series,ISIN Code,Market Cap
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,50413
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,141685
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,49165
Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025,50486
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,56795
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,94321
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,59055
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,188419
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,309475
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,61293
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,45493
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,205103
