,long_entry_threshold,short_entry_threshold,long_exit_threshold,short_exit_threshold,Mean_Sharpe_ratio,Std_Sharpe_ratio,Mean_Max_Drawdown,Std_Max_Drawdown
0,-1.0,1.0,-2.0,2.0,0.16503649951751326,1.1002745210537046,0.0848269877403034,0.03214042365772635
1,-1.0,1.0,-2.5,2.5,1.5439149834785906,1.0528494572756029,0.05369764483929409,0.01087993634270788
2,-1.0,1.0,-3.0,3.0,1.8614408299063414,1.1317938426877239,0.05443275425971972,0.01908322819716044
3,-1.0,1.0,-3.5,3.5,2.391368968225164,1.1572954590058204,0.05489666644221507,0.022782058858311766
4,-1.0,1.0,-4.0,4.0,2.3770742708421544,1.1328826333805382,0.05611450819433017,0.02207552543107943
5,-1.5,1.5,-2.0,2.0,0.06553433045492296,1.0394561133641014,0.08255682980726978,0.03557327200996946
6,-1.5,1.5,-2.5,2.5,1.9891786662033373,1.2844977639228383,0.05339263231806464,0.006121753309477343
7,-1.5,1.5,-3.0,3.0,2.8661706103661446,1.6661708916950393,0.054670217660564305,0.029163377901698737
8,-1.5,1.5,-3.5,3.5,3.497611916350933,1.2464670132432272,0.043186768449927616,0.010436103095470543
9,-1.5,1.5,-4.0,4.0,3.4859709582549803,1.185953668483953,0.04392432015898806,0.009694759367667836
10,-2.0,2.0,-2.5,2.5,1.288363697040253,1.0772240102435686,0.12957715427363942,0.09938022577684825
11,-2.0,2.0,-3.0,3.0,2.2025530807305755,1.2108021724922933,0.1278735981220714,0.1013063874732903
12,-2.0,2.0,-3.5,3.5,2.1159900645218634,1.7237753266510616,0.15722421504339765,0.143966727456901
13,-2.0,2.0,-4.0,4.0,2.2514631554718627,1.6967662286577792,0.15486978900755705,0.14030691640712556
14,-2.5,2.5,-3.0,3.0,3.399874150244635,0.6124102023381399,0.05689193175696268,0.025319413778888477
